id,date,geo,lang,mentions,region,text,urls,user,user_location,filtered_text,sentiment,sentiment2
1144031960265711616,Wed Jun 26 23:57:29 +0000 2019,,en,[],Abbaseya,I  H A T E  S U M M E R,[],NouranHusseiny,Nasr City.,"['h', 'e', 'u', 'e', 'r']",0.8132697451560584,0.36068161580182895
1144026247061811201,Wed Jun 26 23:34:46 +0000 2019,,en,"[{'screen_name': 'shabrawy_I_', 'name': 'Shabrawy ⚫️🔴', 'id': 304023363, 'id_str': '304023363', 'indices': [0, 12]}]",Abbaseya,@shabrawy_I_ Yk bro it really be like that sometimes,[],shehabirl,Nasr City,"['yk', 'bro', 'really', 'like', 'sometimes']",0.5215817112459366,0.6795095081967207
1144021129025269763,Wed Jun 26 23:14:26 +0000 2019,,en,[],Abbaseya,"The Godfather: Part III (1990)
dir. Francis Ford Coppola https://t.co/OXMBspX4RK",[],Omar_Abdelhamid,"Nasr City, Egypt","['godfather', 'part', 'iii', '1990', 'dir', 'francis', 'ford', 'coppola']",0.5187037030103963,0.6052631578947366
1144017894768041985,Wed Jun 26 23:01:35 +0000 2019,,en,[],Abbaseya,You are the better part of every bit of beating heart that I have.,[],NouranHusseiny,Nasr City.,"['better', 'part', 'every', 'bit', 'beating', 'heart']",0.2947638483838915,0.5029582366589347
1144017401329139719,Wed Jun 26 22:59:37 +0000 2019,,en,[],Abbaseya,I saw the part of you that only when you're older you will see too.,[],NouranHusseiny,Nasr City.,"['saw', 'part', 'older', 'see']",0.5175241648974811,0.29497541698480184
1144011224520298496,Wed Jun 26 22:35:05 +0000 2019,"{'type': 'Point', 'coordinates': [30.069111, 31.312333]}",en,[],Abbaseya,🏆Congratulations to #Egypt 🇪🇬# @ Cairo International Stadium https://t.co/MZxCCVJA0m,"[{'url': 'https://t.co/MZxCCVJA0m', 'expanded_url': 'https://www.instagram.com/p/BzMJ7smBg5w/?igshid=o1psniwofor', 'display_url': 'instagram.com/p/BzMJ7smBg5w/…', 'indices': [61, 84]}]",Mostafa104122,للإعلانات ونظام الرتويت DM 📩,"['🏆', 'congratulations', 'egypt', '🇪🇬', 'cairo', 'international', 'stadium']",0.906274793939702,0.5743243243243242
1144010854263865344,Wed Jun 26 22:33:37 +0000 2019,,en,"[{'screen_name': 'Soulax_Yeet', 'name': 'Soulax', 'id': 889492861997240321, 'id_str': '889492861997240321', 'indices': [0, 12]}, {'screen_name': 'TheDustam', 'name': 'dustam', 'id': 918182930605920256, 'id_str': '918182930605920256', 'indices': [13, 23]}]",Abbaseya,@Soulax_Yeet @TheDustam dont ruin the epic moment soulax,[],MindCap,Nasr City,"['dont', 'ruin_NEG', 'epic_NEG', 'moment_NEG', 'soulax_NEG']",0.3815517686588303,0.8613281249999994
1144010395239235589,Wed Jun 26 22:31:47 +0000 2019,,en,"[{'screen_name': 'pennubar', 'name': 'Pennutoh', 'id': 721778483681169408, 'id_str': '721778483681169408', 'indices': [0, 9]}]",Abbaseya,@pennubar why are you charging up your swear words?,[],MindCap,Nasr City,"['charging', 'swear', 'words', '?']",0.619409994730502,0.5582024303497338
1144009645675229185,Wed Jun 26 22:28:48 +0000 2019,,en,"[{'screen_name': 'gdalkali', 'name': 'Alkali', 'id': 1594237062, 'id_str': '1594237062', 'indices': [0, 9]}, {'screen_name': 'cirtrax', 'name': 'avery', 'id': 792807156403752960, 'id_str': '792807156403752960', 'indices': [10, 18]}]",Abbaseya,@gdalkali @cirtrax this looks like something alkali would make ngl,[],MindCap,Nasr City,"['looks', 'like', 'something', 'alkali', 'would', 'make', 'ngl']",0.3769838073120009,0.8219668976615662
1144008145611739136,Wed Jun 26 22:22:51 +0000 2019,,en,"[{'screen_name': 'guyinthereply', 'name': 'replyguys.txt', 'id': 1116077861880958977, 'id_str': '1116077861880958977', 'indices': [0, 14]}, {'screen_name': 'AdashioX', 'name': 'تاء مربوط', 'id': 886463756582211584, 'id_str': '886463756582211584', 'indices': [15, 24]}]",Abbaseya,@guyinthereply @AdashioX thanks obama,[],MindCap,Nasr City,"['thanks', 'obama']",0.8871604819751344,0.8231552162849876
1144004375125381126,Wed Jun 26 22:07:52 +0000 2019,,en,"[{'screen_name': 'mosaeed76', 'name': 'mohamed', 'id': 985445782991106049, 'id_str': '985445782991106049', 'indices': [3, 13]}]",Abbaseya,RT @mosaeed76: one real person is enough,[],yasminefayed,college de la Mère de Dieu ,"['one', 'real', 'person', 'enough']",0.762195515118349,0.8045792593151876
1144003721661222912,Wed Jun 26 22:05:16 +0000 2019,,en,"[{'screen_name': 'mosaeed76', 'name': 'mohamed', 'id': 985445782991106049, 'id_str': '985445782991106049', 'indices': [3, 13]}]",Abbaseya,RT @mosaeed76: one real person is enough,[],ahmedhattem11,في عز المعمعة,"['one', 'real', 'person', 'enough']",0.762195515118349,0.8045792593151876
1144002144137285638,Wed Jun 26 21:59:00 +0000 2019,,en,"[{'screen_name': 'mosaeed76', 'name': 'mohamed', 'id': 985445782991106049, 'id_str': '985445782991106049', 'indices': [3, 13]}]",Abbaseya,RT @mosaeed76: one real person is enough,[],SalmaEl_sharawy,"Alexandria, Egypt","['one', 'real', 'person', 'enough']",0.762195515118349,0.8045792593151876
1143993583680262144,Wed Jun 26 21:24:59 +0000 2019,,en,"[{'screen_name': 'MindCap', 'name': 'and more', 'id': 906592874594291712, 'id_str': '906592874594291712', 'indices': [3, 11]}]",Abbaseya,"RT @MindCap: 13.8.2013 Geometry Dash is released!
10.9.2013 Update 1.1
17.10.2013 Update 1.2
20.11.2013 Update 1.3
26.12.2013 Update 1.4
30…",[],AdashioX,"Jaffa, Palestine","['13.8.2013', 'geometry', 'dash', 'released', '!', '10.9.2013', 'update', '1.1', '17.10.2013', 'update', '1.2', '20.11.2013', 'update', '1.3', '26.12.2013', 'update', '1.4', '30']",0.4770842086765137,0.3499486125385393
1143992261224665090,Wed Jun 26 21:19:44 +0000 2019,,en,[],Abbaseya,"13.8.2013 Geometry Dash is released!
10.9.2013 Update 1.1
17.10.2013 Update 1.2
20.11.2013 Update 1.3
26.12.2013 Up… https://t.co/GJZ4Vq0sWs","[{'url': 'https://t.co/GJZ4Vq0sWs', 'expanded_url': 'https://twitter.com/i/web/status/1143992261224665090', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",MindCap,Nasr City,"['13.8.2013', 'geometry', 'dash', 'released', '!', '10.9.2013', 'update', '1.1', '17.10.2013', 'update', '1.2', '20.11.2013', 'update', '1.3', '26.12.2013', 'up']",0.7001357084664775,0.4729166666666672
1143991905560256512,Wed Jun 26 21:18:19 +0000 2019,,en,"[{'screen_name': 'dianaakhater', 'name': 'Diana', 'id': 798268261158813697, 'id_str': '798268261158813697', 'indices': [0, 13]}]",Abbaseya,@dianaakhater same tbh,[],shehabirl,Nasr City,['tbh'],0.5365619291738069,0.3000000000000001
1143986185993359360,Wed Jun 26 20:55:35 +0000 2019,"{'type': 'Point', 'coordinates': [30.069111, 31.312333]}",en,[],Abbaseya,To be continued 🇪🇬🇪🇬 @ Cairo International Stadium https://t.co/IHMfgwj3yU,"[{'url': 'https://t.co/IHMfgwj3yU', 'expanded_url': 'https://www.instagram.com/p/BzL-jH3HNmFZgP5g6ucuOHjRh0_wFKAmMETCE00/?igshid=bt0ik0grp52g', 'display_url': 'instagram.com/p/BzL-jH3HNmFZ…', 'indices': [51, 74]}]",khaledabdelhafz,Egypt,"['continued', '🇪🇬', '🇪🇬', 'cairo', 'international', 'stadium']",0.5365619291738069,0.1923076923076924
1143983505627648002,Wed Jun 26 20:44:56 +0000 2019,,en,[],Abbaseya,I cheer for the #Pharaohs 🇪🇬 in the #TotalAFCON2019 against DR Congo 🇨🇩! Go Egypt! #EGYDRC #FootballTogether,[],Omar_Abdelhamid,"Nasr City, Egypt","['cheer', 'pharaohs', '🇪🇬', 'totalafcon2019', 'dr', 'congo', '🇨🇩', '!', 'go', 'egypt', '!', 'egydrc', 'footballtogether']",0.259478546695318,0.11496296002065465
1143975593744244736,Wed Jun 26 20:13:30 +0000 2019,,en,"[{'screen_name': 'Emerald_dll', 'name': '😅「Emerald!」⛺️#1 Shima Rin Stan🌲', 'id': 3167466291, 'id_str': '3167466291', 'indices': [0, 12]}, {'screen_name': 'GMDWombat', 'name': '[VS] Wombat', 'id': 896028275016818688, 'id_str': '896028275016818688', 'indices': [13, 23]}, {'screen_name': 'rgreentext', 'name': 'greentext (honk honk)', 'id': 991122072087810048, 'id_str': '991122072087810048', 'indices': [24, 35]}]",Abbaseya,@Emerald_dll @GMDWombat @rgreentext everybody sucks,[],MindCap,Nasr City,"['everybody', 'sucks']",0.19760141784606666,0.05140186915887849
1143975059528306688,Wed Jun 26 20:11:22 +0000 2019,,en,"[{'screen_name': 'Praxisthefool', 'name': 'Praxis', 'id': 760045448577052672, 'id_str': '760045448577052672', 'indices': [0, 14]}, {'screen_name': 'almostalawyer1', 'name': 'César Flores', 'id': 1083380279383711745, 'id_str': '1083380279383711745', 'indices': [15, 30]}, {'screen_name': 'Etika', 'name': 'Etika @ 999', 'id': 1932765523, 'id_str': '1932765523', 'indices': [31, 37]}]",Abbaseya,@Praxisthefool @almostalawyer1 @Etika this reminds me of the getting robbed? just say no. meme,[],MindCap,Nasr City,"['reminds', 'getting', 'robbed', '?', 'say', 'no', 'meme']",0.6839361667408549,0.6321859385252107
1143970315195826187,Wed Jun 26 19:52:31 +0000 2019,,en,"[{'screen_name': 'MindCap', 'name': 'and more', 'id': 906592874594291712, 'id_str': '906592874594291712', 'indices': [3, 11]}, {'screen_name': 'pennubar', 'name': 'Pennutoh', 'id': 721778483681169408, 'id_str': '721778483681169408', 'indices': [13, 22]}]",Abbaseya,RT @MindCap: @pennubar funny. did laugh.,[],pennubar,"Lombardia, Italia","['funny', 'laugh']",0.9834527395228571,0.8653846153846156
1143970116809515011,Wed Jun 26 19:51:44 +0000 2019,,en,"[{'screen_name': 'pennubar', 'name': 'Pennutoh', 'id': 721778483681169408, 'id_str': '721778483681169408', 'indices': [0, 9]}]",Abbaseya,@pennubar funny. did laugh.,[],MindCap,Nasr City,"['funny', 'laugh']",0.9834527395228571,0.8653846153846156
1143966986977853441,Wed Jun 26 19:39:18 +0000 2019,,en,[],Abbaseya,You don't own me ..,[],Hassaan_Hossam,Nasr City,"['not', 'NEG']",0.5365619291738069,0.3969359331476323
1143961591299420160,Wed Jun 26 19:17:51 +0000 2019,,en,[],Abbaseya,Now ... I’m officially a graduate 🎓❤️💃😉,[],haidy_dou,nasr city,"['officially', 'graduate', '🎓', '❤', '💃', '😉']",0.618593453816988,0.8023255813953504
1143960754477047809,Wed Jun 26 19:14:32 +0000 2019,"{'type': 'Point', 'coordinates': [30.06729809, 31.22643311]}",en,[],Abbaseya,"I'm at The Roof in Bulaq, Cairo https://t.co/f3b9VOGaJz","[{'url': 'https://t.co/f3b9VOGaJz', 'expanded_url': 'https://www.swarmapp.com/c/imYgssNJv4A', 'display_url': 'swarmapp.com/c/imYgssNJv4A', 'indices': [32, 55]}]",saadalsaadii,كويت المجد ,"['roof', 'bulaq', 'cairo']",0.5365619291738069,0.375
1143955750886227968,Wed Jun 26 18:54:39 +0000 2019,,en,[],Abbaseya,😂 warda😂 https://t.co/u0Ni1U8lNp,"[{'url': 'https://t.co/u0Ni1U8lNp', 'expanded_url': 'https://www.facebook.com/story.php?story_fbid=10213428247929930&id=1511952766', 'display_url': 'facebook.com/story.php?stor…', 'indices': [9, 32]}]",islamwahhab,nasr city,"['😂', 'warda', '😂']",0.5365619291738069,0.5588235294117647
1143947339247378432,Wed Jun 26 18:21:13 +0000 2019,,en,[],Abbaseya,Aspany99,[],Mahmoud32334882,nasr city,['aspany99'],0.5365619291738069,0.5
1143946408384503808,Wed Jun 26 18:17:31 +0000 2019,,en,[],Abbaseya,Ask me anything! https://t.co/CoMVqqPCQN,"[{'url': 'https://t.co/CoMVqqPCQN', 'expanded_url': 'https://curiouscat.me/mayman100000?t=1561573051', 'display_url': 'curiouscat.me/mayman100000?t…', 'indices': [17, 40]}]",mayman100000,Nasr city,"['ask', 'anything', '!']",0.7865144346226387,0.9751931032487638
1143940286625779719,Wed Jun 26 17:53:12 +0000 2019,"{'type': 'Point', 'coordinates': [30.069111, 31.312333]}",en,[],Abbaseya,Just posted a photo @ Cairo International Stadium https://t.co/EoaTnj5HXt,"[{'url': 'https://t.co/EoaTnj5HXt', 'expanded_url': 'https://www.instagram.com/p/BzLprWLH87-/?igshid=1bwovhvna0y9d', 'display_url': 'instagram.com/p/BzLprWLH87-/…', 'indices': [50, 73]}]",motazeno,مصر,"['posted', 'photo', 'cairo', 'international', 'stadium']",0.6023277911149266,0.17723880597014896
1143935537318912001,Wed Jun 26 17:34:20 +0000 2019,,en,"[{'screen_name': 'MennaElHoshy', 'name': 'مِنّةُ الله🎼🌸', 'id': 249391838, 'id_str': '249391838', 'indices': [3, 16]}]",Abbaseya,RT @MennaElHoshy: Every time i see my crush ☝🏻😂 https://t.co/H6kpSqg2xO,"[{'url': 'https://t.co/H6kpSqg2xO', 'expanded_url': 'https://twitter.com/BestMovieLine/status/1056313179540725760', 'display_url': 'twitter.com/BestMovieLine/…', 'indices': [48, 71]}]",MennaElHoshy,Nasr city - Egypt,"['every', 'time', 'see', 'crush', '☝', '🏻', '😂']",0.5444358583602605,0.8749628181702311
1143935474249154562,Wed Jun 26 17:34:05 +0000 2019,"{'type': 'Point', 'coordinates': [30.069111, 31.312333]}",en,[],Abbaseya,Just posted a video @ Cairo International Stadium https://t.co/dxXys6EeuT,"[{'url': 'https://t.co/dxXys6EeuT', 'expanded_url': 'https://www.instagram.com/p/BzLneCVBR-1/?igshid=1ew8j1seddrhv', 'display_url': 'instagram.com/p/BzLneCVBR-1/…', 'indices': [50, 73]}]",RabbahAdelAmmar,"Cairo, Egypt","['posted', 'video', 'cairo', 'international', 'stadium']",0.6763633754616777,0.3181818181818187
1143932868915277824,Wed Jun 26 17:23:43 +0000 2019,"{'type': 'Point', 'coordinates': [30.069111, 31.312333]}",en,[],Abbaseya,Just posted a photo @ Cairo International Stadium https://t.co/0e2ROzsuC2,"[{'url': 'https://t.co/0e2ROzsuC2', 'expanded_url': 'https://www.instagram.com/p/BzLmTdAHYgF/?igshid=1xz9iqgqp0hmf', 'display_url': 'instagram.com/p/BzLmTdAHYgF/…', 'indices': [50, 73]}]",motazeno,مصر,"['posted', 'photo', 'cairo', 'international', 'stadium']",0.6023277911149266,0.17723880597014896
